id,brand,model,category,price,cpu,cpu_cores,ram,gpu,gpu_vram,dedicated_gpu,cuda_support,weight,screen_size,screen_resolution,screen_quality_score
165,Huawei,Huawei Ultrabook,Ultrabook,865.96,Intel Core i5 7200U 2.5GHz,4,8,Intel HD Graphics 620,0,False,False,1.05,13.0,2160x1440,0.4
166,HP,HP Notebook,Notebook,448.71,Intel Core i5 7200U 2.5GHz,4,6,AMD Radeon 520,4,True,False,2.71,17.3,1920x1080,0.6
167,Lenovo,Lenovo Notebook,Notebook,198.36,AMD A6-Series 9220 2.9GHz,2,4,AMD Radeon R4 Graphics,0,False,False,2.2,15.6,1366x768,0.4
168,Toshiba,Toshiba Notebook,Notebook,313.9,Intel Core i3 7100U 2.4GHz,2,4,Intel HD Graphics 620,0,False,False,5.4,15.6,1366x768,0.4
169,HP,HP Notebook,Notebook,592.5,Intel Core i5 8250U 1.6GHz,4,8,Nvidia GeForce 930MX,4,True,True,2.5,17.3,1920x1080,0.6
170,Dell,Dell Notebook,Notebook,294.64,Intel Core i3 7100U 2.4GHz,2,8,Intel HD Graphics 620,0,False,False,2.3,15.6,1366x768,0.4
171,Acer,Acer Notebook,Notebook,288.23,Intel Core i3 6006U 2GHz,2,4,Intel HD Graphics 520,0,False,False,2.1,15.6,1366x768,0.4
172,MSI,MSI Gaming,Gaming,1796.76,Intel Core i7 6920HQ 2.9GHz,8,32,Nvidia GTX 980 SLI,4,True,True,4.4,18.4,1920x1080,0.6
173,Lenovo,Lenovo Notebook,Notebook,521.89,Intel Core i5 7200U 2.5GHz,4,8,AMD R17M-M1-70,4,True,False,1.9,15.6,1920x1080,0.6
174,HP,HP 2 in 1 Convertible,2 in 1 Convertible,962.25,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,1.29,13.3,3840x2160,1.0
175,Dell,Dell Notebook,Notebook,673.38,Intel Core i7 8550U 1.8GHz,8,16,AMD Radeon 530,4,True,False,2.02,15.6,1920x1080,0.6
176,Dell,Dell Ultrabook,Ultrabook,898.06,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,1.23,13.3,1920x1080,0.6
177,Lenovo,Lenovo 2 in 1 Convertible,2 in 1 Convertible,1186.92,Intel Core i7 8550U 1.8GHz,8,16,Intel UHD Graphics 620,0,False,False,1.4,13.9,3840x2160,1.0
178,Toshiba,Toshiba Notebook,Notebook,509.05,Intel Core i5 7200U 2.5GHz,4,8,Intel HD Graphics 620,0,False,False,2.0,15.6,1366x768,0.4
179,Xiaomi,Xiaomi Notebook,Notebook,769.67,Intel Core i5 8250U 1.6GHz,4,8,Nvidia GeForce MX150,2,True,True,1.95,15.6,1920x1080,0.6
180,Dell,Dell Notebook,Notebook,994.35,Intel Core i7 8550U 1.8GHz,8,16,Nvidia GeForce 150MX,4,True,True,2.77,17.3,1920x1080,0.6
181,Dell,Dell Notebook,Notebook,1538.7,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1050,2,True,True,2.06,15.6,3840x2160,1.0
182,Lenovo,Lenovo Gaming,Gaming,500.06,Intel Core i5 7300HQ 2.5GHz,4,8,Nvidia GeForce GTX 1050,2,True,True,2.4,15.6,1920x1080,0.6
183,Acer,Acer Ultrabook,Ultrabook,634.87,Intel Core i5 7Y54 1.2GHz,4,8,Intel HD Graphics 615,0,False,False,1.12,13.3,1920x1080,0.6
184,Dell,Dell Notebook,Notebook,696.49,Intel Core i7 8550U 1.8GHz,8,8,AMD Radeon 530,4,True,False,2.8,17.3,1920x1080,0.6
185,Vero,Vero Notebook,Notebook,166.9,Intel Celeron Dual Core N3350 1.1GHz,2,4,Intel HD Graphics 500,0,False,False,1.3,14.0,1920x1080,0.6
186,Xiaomi,Xiaomi Ultrabook,Ultrabook,641.86,Intel Core i5 7200U 2.5GHz,4,8,Nvidia GeForce MX150,2,True,True,1.3,13.3,1920x1080,0.6
187,Lenovo,Lenovo Notebook,Notebook,448.07,Intel Core i5 8250U 1.6GHz,4,8,Nvidia GeForce MX150,2,True,True,2.8,17.3,1600x900,0.4
188,Dell,Dell 2 in 1 Convertible,2 in 1 Convertible,538.58,Intel Core i7 8550U 1.8GHz,8,8,Intel UHD Graphics 620,0,False,False,1.62,13.3,1920x1080,0.6
189,HP,HP Notebook,Notebook,586.72,Intel Core i5 8250U 1.6GHz,4,8,Nvidia GeForce 930MX,4,True,True,2.5,17.3,1920x1080,0.6
190,Razer,Razer Gaming,Gaming,3915.12,Intel Core i7 7820HK 2.9GHz,8,32,Nvidia GeForce GTX 1080,8,True,True,3.49,17.3,3840x2160,1.0
191,HP,HP Notebook,Notebook,615.61,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,1.49,13.3,1920x1080,0.6
192,HP,HP Gaming,Gaming,885.22,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1050,2,True,True,3.35,17.3,1920x1080,0.6
193,HP,HP Notebook,Notebook,670.81,Intel Core i7 8550U 1.8GHz,8,8,Nvidia GeForce 930MX ,4,True,True,2.5,17.3,1920x1080,0.6
194,Dell,Dell Gaming,Gaming,1184.36,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1060,4,True,True,2.65,15.6,3840x2160,1.0
195,Lenovo,Lenovo Notebook,Notebook,316.47,Intel Core i5 6200U 2.3GHz,4,4,Intel HD Graphics 520,0,False,False,2.1,15.6,1366x768,0.4
196,Acer,Acer Notebook,Notebook,476.31,Intel Core i7 7500U 2.7GHz,8,8,Nvidia GeForce 940MX,4,True,True,2.23,15.6,1920x1080,0.6
197,Lenovo,Lenovo Gaming,Gaming,1122.73,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1060,4,True,True,3.2,15.6,1920x1080,0.6
198,Dell,Dell Workstation,Workstation,1961.09,Intel Xeon E3-1505M V6 3GHz,2,16,Nvidia Quadro M1200,4,True,True,2.8,15.6,3840x2160,1.0
199,Lenovo,Lenovo Gaming,Gaming,897.41,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1060,4,True,True,2.4,15.6,1920x1080,0.6
200,Dell,Dell Notebook,Notebook,281.81,Intel Core i3 7100U 2.4GHz,2,6,Intel HD Graphics 620,0,False,False,2.3,15.6,1366x768,0.4
201,Dell,Dell Ultrabook,Ultrabook,1251.12,Intel Core i7 8550U 1.8GHz,8,8,Intel UHD Graphics 620,0,False,False,1.21,13.3,3840x2160,1.0
202,Dell,Dell Ultrabook,Ultrabook,930.15,Intel Core i7 8550U 1.8GHz,8,8,Intel UHD Graphics 620,0,False,False,2.08,13.3,1920x1080,0.6
203,Acer,Acer Notebook,Notebook,500.06,Intel Core i7 7700HQ 2.8GHz,8,8,Nvidia GeForce GTX 1050,2,True,True,2.4,15.6,1920x1080,0.6
204,Asus,Asus Gaming,Gaming,903.19,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1050,2,True,True,2.9,17.3,1920x1080,0.6
205,HP,HP Notebook,Notebook,224.03,Intel Core i3 6006U 2GHz,2,4,Intel HD Graphics 520,0,False,False,2.1,15.6,1920x1080,0.6
206,Lenovo,Lenovo Notebook,Notebook,352.42,Intel Core i5 7200U 2.5GHz,4,8,Intel HD Graphics 620,0,False,False,2.2,15.6,1920x1080,0.6
207,Huawei,Huawei Ultrabook,Ultrabook,962.25,Intel Core i7 7500U 2.7GHz,8,8,Intel HD Graphics 620,0,False,False,1.05,13.0,2160x1440,0.4
208,Dell,Dell Ultrabook,Ultrabook,598.2,Intel Core i7 8550U 1.8GHz,8,8,AMD Radeon 530,4,True,False,1.4,13.3,1920x1080,0.6
209,Lenovo,Lenovo Notebook,Notebook,378.1,Intel Core i5 7200U 2.5GHz,4,8,Nvidia GeForce GTX 940MX,4,True,True,2.8,17.3,1600x900,0.4
210,HP,HP Notebook,Notebook,661.83,Intel Core i7 8550U 1.8GHz,8,8,Nvidia GeForce 930MX,4,True,True,1.63,14.0,1920x1080,0.6
211,Dell,Dell Ultrabook,Ultrabook,737.57,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,1.6,14.0,1920x1080,0.6
212,Dell,Dell 2 in 1 Convertible,2 in 1 Convertible,821.03,Intel Core i7 8550U 1.8GHz,8,16,Intel UHD Graphics 620,0,False,False,1.62,13.3,1920x1080,0.6
213,Dell,Dell Notebook,Notebook,434.81,Intel Core i5 8250U 1.6GHz,4,8,AMD Radeon 520,4,True,False,2.2,15.6,1920x1080,0.6
214,Lenovo,Lenovo 2 in 1 Convertible,2 in 1 Convertible,577.09,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,1.74,14.0,1920x1080,0.6
215,Toshiba,Toshiba Ultrabook,Ultrabook,874.95,Intel Core i7 6500U 2.5GHz,8,8,Intel HD Graphics 520,0,False,False,1.2,13.3,1920x1080,0.6
216,HP,HP Notebook,Notebook,509.69,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,2.1,15.6,1920x1080,0.6
217,Dell,Dell Gaming,Gaming,1576.79,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1060,4,True,True,4.42,17.3,1920x1080,0.6
218,Acer,Acer Notebook,Notebook,534.08,Intel Core i7 7500U 2.7GHz,8,8,Nvidia GeForce 940MX,4,True,True,2.2,15.6,1920x1080,0.6
219,Dell,Dell Notebook,Notebook,551.42,Intel Core i7 7500U 2.7GHz,8,16,AMD Radeon R7 M445,0,False,False,2.3,15.6,1920x1080,0.6
220,Asus,Asus Notebook,Notebook,493.64,Intel Core i5 7200U 2.5GHz,4,8,Nvidia GeForce 920MX ,4,True,True,2.0,15.6,1920x1080,0.6
221,Asus,Asus Notebook,Notebook,571.96,Intel Core i5 7200U 2.5GHz,4,8,Nvidia GeForce GTX 950M,4,True,True,2.69,17.3,1920x1080,0.6
222,HP,HP Notebook,Notebook,814.61,Intel Core i7 7500U 2.7GHz,8,8,AMD FirePro W4190M ,4,True,False,1.9,15.6,1920x1080,0.6
223,Asus,Asus Notebook,Notebook,256.12,Intel Core i3 7100U 2.4GHz,2,4,Intel HD Graphics 620,0,False,False,2.37,15.6,1366x768,0.4
224,HP,HP Notebook,Notebook,211.84,AMD E-Series 9000e 1.5GHz,2,4,AMD Radeon R2,0,False,False,2.1,15.6,1366x768,0.4
225,Lenovo,Lenovo Gaming,Gaming,962.25,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1060,4,True,True,3.2,15.6,1920x1080,0.6
226,Dell,Dell Notebook,Notebook,551.42,Intel Core i5 7200U 2.5GHz,4,8,Intel HD Graphics 620,0,False,False,1.6,14.0,1920x1080,0.6
227,Acer,Acer 2 in 1 Convertible,2 in 1 Convertible,442.29,Intel Core i5 6200U 2.3GHz,4,8,Intel HD Graphics 520,0,False,False,1.6,13.3,1920x1080,0.6
228,Dell,Dell Notebook,Notebook,577.09,Intel Core i7 7500U 2.7GHz,8,16,AMD Radeon R7 M445,0,False,False,2.36,15.6,1920x1080,0.6
229,Acer,Acer Notebook,Notebook,250.35,Intel Core i3 6006U 2GHz,2,4,Intel HD Graphics 520,0,False,False,2.1,15.6,1366x768,0.4
230,Asus,Asus Notebook,Notebook,369.11,AMD A10-Series A10-9620P 2.5GHz,2,4,AMD Radeon R5 M430,0,False,False,2.2,15.6,1920x1080,0.6
231,Asus,Asus Gaming,Gaming,2497.1,Intel Core i7 7820HK 2.9GHz,8,32,Nvidia GeForce GTX 1080,8,True,True,4.7,17.3,1920x1080,0.6
232,Acer,Acer Gaming,Gaming,543.07,Intel Core i5 7300HQ 2.5GHz,4,8,Nvidia GeForce GTX 1050,2,True,True,2.5,15.6,1920x1080,0.6
233,Lenovo,Lenovo Notebook,Notebook,378.1,Intel Core i3 6006U 2GHz,2,8,Intel HD Graphics 520,0,False,False,7.2,15.6,1366x768,0.4
234,Asus,Asus Notebook,Notebook,735.01,Intel Core i7 8550U 1.8GHz,8,8,Nvidia GeForce 150MX,4,True,True,2.1,17.3,1920x1080,0.6
235,Asus,Asus Notebook,Notebook,570.67,Intel Core i7 7500U 2.7GHz,8,8,Nvidia GeForce GTX 950M,4,True,True,2.69,17.3,1920x1080,0.6
236,Dell,Dell Gaming,Gaming,564.25,Intel Core i5 7300HQ 2.5GHz,4,8,Nvidia GeForce GTX 1050,2,True,True,2.56,15.6,1920x1080,0.6
237,Lenovo,Lenovo 2 in 1 Convertible,2 in 1 Convertible,692.64,Intel Core i7 7500U 2.7GHz,8,8,Intel HD Graphics 620,0,False,False,1.38,13.9,1920x1080,0.6
238,Dell,Dell Notebook,Notebook,632.3,Intel Core i7 8550U 1.8GHz,8,8,AMD Radeon 530,4,True,False,2.2,15.6,1920x1080,0.6
239,HP,HP Notebook,Notebook,358.84,Intel Core i5 7200U 2.5GHz,4,8,Intel HD Graphics 620,0,False,False,2.04,15.6,1366x768,0.4
240,Asus,Asus Gaming,Gaming,1925.14,Intel Core i7 7820HK 2.9GHz,8,16,Nvidia GeForce GTX 1080,8,True,True,3.6,17.3,1920x1080,0.6
241,HP,HP Notebook,Notebook,433.3,Intel Core i5 8250U 1.6GHz,4,4,Intel UHD Graphics 620,0,False,False,1.49,13.3,1920x1080,0.6
242,Apple,Apple Ultrabook,Ultrabook,1309.53,Intel Core i5 3.1GHz,4,8,Intel Iris Plus Graphics 650,0,False,False,1.37,13.3,2560x1600,0.8
243,Dell,Dell 2 in 1 Convertible,2 in 1 Convertible,525.74,Intel Core i7 8550U 1.8GHz,8,8,Intel UHD Graphics 620,0,False,False,2.08,15.6,1920x1080,0.6
244,Asus,Asus Gaming,Gaming,1154.83,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 980M,4,True,True,4.3,17.3,1920x1080,0.6
245,Asus,Asus Notebook,Notebook,301.06,AMD A9-Series 9420 3GHz,2,4,AMD Radeon R5 M420,0,False,False,1.68,15.6,1366x768,0.4
246,Lenovo,Lenovo 2 in 1 Convertible,2 in 1 Convertible,1186.92,Intel Core i7 8550U 1.8GHz,8,8,Intel UHD Graphics 620,0,False,False,1.37,13.9,1920x1080,0.6
247,Acer,Acer Notebook,Notebook,450.63,Intel Core i3 7130U 2.7GHz,2,4,Nvidia GeForce MX130,4,True,True,3.0,17.3,1920x1080,0.6
248,Dell,Dell Ultrabook,Ultrabook,609.19,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,1.41,13.3,1920x1080,0.6
249,HP,HP Notebook,Notebook,286.24,AMD A6-Series A6-9220 2.5GHz,2,8,AMD Radeon R4 Graphics,0,False,False,1.91,15.6,1366x768,0.4
250,HP,HP Notebook,Notebook,679.8,Intel Core i7 8550U 1.8GHz,8,16,Nvidia GeForce MX150,2,True,True,2.9,17.3,1920x1080,0.6
251,MSI,MSI Gaming,Gaming,1604.18,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1070,6,True,True,4.14,17.3,1920x1080,0.6
252,Lenovo,Lenovo 2 in 1 Convertible,2 in 1 Convertible,1090.64,Intel Core i7 7700HQ 2.8GHz,8,8,Nvidia GeForce GTX 1050M,2,True,True,2.0,15.6,1920x1080,0.6
253,Dell,Dell Notebook,Notebook,733.08,Intel Core i7 8550U 1.8GHz,8,8,AMD Radeon 530,4,True,False,2.8,17.3,1920x1080,0.6
254,Lenovo,Lenovo Notebook,Notebook,285.02,Intel Core i3 6006U 2GHz,2,4,Intel HD Graphics 520,0,False,False,2.2,15.6,1920x1080,0.6
255,HP,HP Notebook,Notebook,463.47,Intel Core i5 8250U 1.6GHz,4,4,Intel HD Graphics 620,0,False,False,2.1,15.6,1920x1080,0.6
256,Dell,Dell Notebook,Notebook,421.75,Intel Core i5 7200U 2.5GHz,4,4,Intel HD Graphics 620,0,False,False,2.18,15.6,1920x1080,0.6
257,Dell,Dell Notebook,Notebook,362.69,Intel Core i5 7200U 2.5GHz,4,8,AMD Radeon R5 M430,0,False,False,2.24,15.6,1920x1080,0.6
258,Dell,Dell 2 in 1 Convertible,2 in 1 Convertible,512.9,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,2.67,15.6,1920x1080,0.6
259,Asus,Asus 2 in 1 Convertible,2 in 1 Convertible,962.25,Intel Core i7 8550U 1.8GHz,8,8,Intel UHD Graphics 620,0,False,False,4.1,13.3,1920x1080,0.6
260,HP,HP Notebook,Notebook,653.48,Intel Core i7 8550U 1.8GHz,8,8,Nvidia GeForce 930MX ,4,True,True,2.5,17.3,1920x1080,0.6
261,Lenovo,Lenovo Notebook,Notebook,564.9,Intel Core i7 8550U 1.8GHz,8,8,Intel UHD Graphics 620,0,False,False,2.05,15.6,1920x1080,0.6
262,Apple,Apple Ultrabook,Ultrabook,1257.47,Intel Core i5 2.9GHz,4,8,Intel Iris Graphics 550,0,False,False,1.37,13.3,2560x1600,0.8
263,Asus,Asus Gaming,Gaming,994.35,AMD Ryzen 1700 3GHz,2,16,AMD Radeon RX 580,4,True,False,3.2,17.3,1920x1080,0.6
264,Dell,Dell Notebook,Notebook,471.86,Intel Core i7 8550U 1.8GHz,8,8,AMD Radeon 520,4,True,False,2.14,15.6,1920x1080,0.6
265,Lenovo,Lenovo 2 in 1 Convertible,2 in 1 Convertible,1604.18,Intel Core i7 6600U 2.6GHz,8,16,Intel HD Graphics 520,0,False,False,1.36,14.0,2560x1440,0.8
266,Toshiba,Toshiba Notebook,Notebook,521.25,Intel Core i7 6500U 2.5GHz,8,8,Nvidia GeForce 930M,4,True,True,2.2,15.6,1366x768,0.4
267,Dell,Dell Notebook,Notebook,457.74,Intel Core i7 7500U 2.7GHz,8,12,Intel HD Graphics 620,0,False,False,2.3,15.6,1366x768,0.4
268,Dell,Dell Notebook,Notebook,705.48,Intel Core i7 8550U 1.8GHz,8,8,AMD Radeon 530,4,True,False,2.8,17.3,1920x1080,0.6
269,Acer,Acer Notebook,Notebook,478.24,Intel Core i7 8550U 1.8GHz,8,8,Nvidia GeForce MX130,4,True,True,2.2,15.6,1920x1080,0.6
270,Lenovo,Lenovo Notebook,Notebook,313.9,Intel Core i3 6006U 2GHz,2,4,Intel HD Graphics 520,0,False,False,2.8,17.3,1600x900,0.4
271,Lenovo,Lenovo Notebook,Notebook,545.0,Intel Core i7 8550U 1.8GHz,8,8,Nvidia GeForce MX150,2,True,True,2.8,17.3,1920x1080,0.6
272,Lenovo,Lenovo Notebook,Notebook,551.42,Intel Core i7 7500U 2.7GHz,8,6,Nvidia GeForce 940MX,4,True,True,2.8,17.3,1600x900,0.4
273,Dell,Dell Notebook,Notebook,274.75,Intel Core i3 6006U 2.0GHz,2,4,AMD Radeon R5 M430,0,False,False,2.25,15.6,1920x1080,0.6
274,Lenovo,Lenovo Gaming,Gaming,532.16,Intel Core i5 7300HQ 2.5GHz,4,8,Nvidia GeForce GTX 1050,2,True,True,2.5,15.6,1920x1080,0.6
275,Lenovo,Lenovo Notebook,Notebook,371.68,Intel Core i5 7200U 2.5GHz,4,6,Intel HD Graphics 620,0,False,False,2.2,15.6,1920x1080,0.6
276,Acer,Acer Notebook,Notebook,610.47,Intel Core i7 8550U 1.8GHz,8,8,Nvidia GeForce MX150,2,True,True,3.0,15.6,1920x1080,0.6
277,Acer,Acer Notebook,Notebook,423.03,Intel Core i7 7500U 2.7GHz,8,12,Intel HD Graphics 620,0,False,False,2.15,15.6,1920x1080,0.6
278,Lenovo,Lenovo Notebook,Notebook,704.19,Intel Core i7 7500U 2.7GHz,8,8,Intel HD Graphics 630,0,False,False,1.95,15.6,1920x1080,0.6
279,Asus,Asus Ultrabook,Ultrabook,627.16,Intel Core i5 7200U 2.5GHz,4,8,Nvidia GeForce 940MX,4,True,True,1.7,15.6,1920x1080,0.6
280,Lenovo,Lenovo Gaming,Gaming,756.83,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1050 Ti,2,True,True,2.5,15.6,1920x1080,0.6
281,Lenovo,Lenovo Notebook,Notebook,423.04,Intel Core i7 7500U 2.7GHz,8,8,Nvidia GeForce 940MX,4,True,True,2.2,15.6,1920x1080,0.6
282,Acer,Acer Notebook,Notebook,127.74,Intel Celeron Dual Core 3205U 1.5GHz,2,2,Intel HD Graphics,0,False,False,2.19,15.6,1366x768,0.4
283,Asus,Asus Gaming,Gaming,761.97,Intel Core i7 7700HQ 2.8GHz,8,8,Nvidia GeForce GTX 1050,2,True,True,3.0,17.3,1920x1080,0.6
284,HP,HP Notebook,Notebook,313.9,Intel Core i3 6006U 2GHz,2,8,Intel HD Graphics 520,0,False,False,2.54,17.3,1600x900,0.4
285,Dell,Dell Notebook,Notebook,1174.09,Intel Core i7 7700HQ 2.8GHz,8,8,Nvidia GeForce GTX 1050,2,True,True,2.0,15.6,1920x1080,0.6
286,Lenovo,Lenovo Notebook,Notebook,474.38,Intel Core i5 8250U 1.6GHz,4,8,Intel UHD Graphics 620,0,False,False,2.05,15.6,1920x1080,0.6
287,Lenovo,Lenovo Gaming,Gaming,833.86,Intel Core i7 7700HQ 2.8GHz,8,8,Nvidia GeForce GTX 1060,4,True,True,3.2,15.6,1920x1080,0.6
288,Acer,Acer Notebook,Notebook,628.45,Intel Core i7 7700HQ 2.8GHz,8,8,Nvidia GeForce GTX 1050 Ti,2,True,True,2.5,15.6,1920x1080,0.6
289,Dell,Dell Workstation,Workstation,1851.87,Intel Core i7 7820HQ 2.9GHz,8,16,Nvidia Quadro M1200,4,True,True,3.42,17.3,1920x1080,0.6
290,Lenovo,Lenovo Notebook,Notebook,320.32,AMD A10-Series 9600P 2.4GHz,2,6,AMD Radeon R5 430,0,False,False,2.4,15.6,1920x1080,0.6
291,Asus,Asus Ultrabook,Ultrabook,942.35,Intel Core i7 7500U 2.7GHz,8,16,Nvidia GeForce 940MX,4,True,True,1.63,15.6,1920x1080,0.6
292,Asus,Asus Notebook,Notebook,326.74,Intel Core i3 7100U 2.4GHz,2,4,Intel HD Graphics 620,0,False,False,1.3,14.0,1366x768,0.4
293,Asus,Asus Gaming,Gaming,1362.17,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1070,6,True,True,2.9,17.3,1920x1080,0.6
294,Lenovo,Lenovo Notebook,Notebook,416.61,Intel Core i5 7200U 2.5GHz,4,6,Nvidia GeForce GTX 940M,4,True,True,5.8,17.3,1600x900,0.4
295,Lenovo,Lenovo Notebook,Notebook,352.42,Intel Core i5 7200U 2.5GHz,4,8,Nvidia GeForce 940MX,4,True,True,2.2,15.6,1366x768,0.4
296,Asus,Asus Gaming,Gaming,812.04,Intel Core i7 7700HQ 2.8GHz,8,8,Nvidia GeForce GTX 1050 Ti,2,True,True,2.5,15.6,1920x1080,0.6
297,Lenovo,Lenovo Notebook,Notebook,231.09,Intel Pentium Quad Core N4200 1.1GHz,2,4,Intel HD Graphics 505,0,False,False,2.2,15.6,1366x768,0.4
298,HP,HP 2 in 1 Convertible,2 in 1 Convertible,1267.81,Intel Core i7 7600U 2.8GHz,8,16,Intel HD Graphics 620,0,False,False,1.28,13.3,1920x1080,0.6
299,Toshiba,Toshiba Notebook,Notebook,669.53,Intel Core i7 6500U 2.5GHz,8,8,Nvidia GeForce 930M,4,True,True,2.2,15.6,1920x1080,0.6
300,Lenovo,Lenovo Notebook,Notebook,525.74,Intel Core i5 7200U 2.5GHz,4,8,Nvidia GeForce 940MX,4,True,True,2.3,15.6,1920x1080,0.6
301,HP,HP Notebook,Notebook,301.06,Intel Core i3 6006U 2GHz,2,4,Intel HD Graphics 520,0,False,False,1.86,15.6,1920x1080,0.6
302,Lenovo,Lenovo Notebook,Notebook,641.29,Intel Core i5 7200U 2.5GHz,4,8,Intel HD Graphics 620,0,False,False,1.1,13.3,1920x1080,0.6
303,Dell,Dell Ultrabook,Ultrabook,1604.18,Intel Core i7 8550U 1.8GHz,8,16,Intel UHD Graphics 620,0,False,False,1.21,13.3,3840x2160,1.0
304,MSI,MSI Gaming,Gaming,1347.41,Intel Core i7 7700HQ 2.8GHz,8,16,Nvidia GeForce GTX 1070,6,True,True,2.8,15.6,1920x1080,0.6
305,Acer,Acer Notebook,Notebook,301.06,AMD A8-Series 7410 2.2GHz,2,8,AMD Radeon R5,0,False,False,2.23,15.6,1920x1080,0.6
306,Asus,Asus 2 in 1 Convertible,2 in 1 Convertible,176.53,Intel Celeron Dual Core N3350 1.1GHz,2,2,Intel HD Graphics 500,0,False,False,1.1,11.6,1366x768,0.4
307,Dell,Dell Notebook,Notebook,541.79,Intel Core i5 8250U 1.6GHz,4,8,AMD Radeon 530,4,True,False,2.33,15.6,1920x1080,0.6
308,HP,HP 2 in 1 Convertible,2 in 1 Convertible,1572.08,Intel Core i7 8550U 1.8GHz,8,16,Intel UHD Graphics 620,0,False,False,1.29,13.3,3840x2160,1.0
309,Lenovo,Lenovo Notebook,Notebook,295.22,Intel Celeron Dual Core 3855U 1.6GHz,2,4,Intel HD Graphics 510,0,False,False,1.45,13.3,1366x768,0.4
310,HP,HP Notebook,Notebook,629.09,Intel Core i5 7200U 2.5GHz,4,8,Intel HD Graphics 620,0,False,False,1.95,14.0,1920x1080,0.6
311,Acer,Acer Notebook,Notebook,311.33,Intel Pentium Quad Core N3710 1.6GHz,2,4,Intel HD Graphics 405,0,False,False,1.4,11.6,1366x768,0.4
312,HP,HP Notebook,Notebook,829.37,Intel Core i7 7500U 2.7GHz,8,8,Intel HD Graphics 620,0,False,False,1.48,14.0,1920x1080,0.6
313,Lenovo,Lenovo Notebook,Notebook,378.1,Intel Core i5 7200U 2.5GHz,4,4,Nvidia GeForce 920MX,4,True,True,2.79,17.3,1600x900,0.4
314,Asus,Asus Notebook,Notebook,702.27,Intel Core i7 7500U 2.7GHz,8,8,Intel HD Graphics 620,0,False,False,2.0,14.0,1920x1080,0.6
315,HP,HP Notebook,Notebook,579.02,Intel Core i7 8550U 1.8GHz,8,8,Intel UHD Graphics 620,0,False,False,2.1,15.6,1366x768,0.4
316,Acer,Acer Notebook,Notebook,423.03,AMD A12-Series 9720P 2.7GHz,2,8,AMD Radeon RX 540,4,True,False,2.2,15.6,1366x768,0.4
317,Lenovo,Lenovo Notebook,Notebook,187.44,Intel Celeron Dual Core N3350 1.1GHz,2,4,Intel HD Graphics 500,0,False,False,1.44,14.0,1366x768,0.4
318,Acer,Acer Notebook,Notebook,352.42,Intel Core i5 7200U 2.5GHz,4,6,Intel HD Graphics 620,0,False,False,8.23,15.6,1366x768,0.4
319,Asus,Asus Ultrabook,Ultrabook,673.96,Intel Core i7 7500U 2.7GHz,8,8,Nvidia GeForce 940MX,4,True,True,1.7,15.6,1920x1080,0.6
320,HP,HP Ultrabook,Ultrabook,856.97,Intel Core i7 7500U 2.7GHz,8,8,Intel HD Graphics 620,0,False,False,1.26,12.5,1920x1080,0.6
321,Dell,Dell Notebook,Notebook,1694.05,Intel Core i7 7700HQ 2.8GHz,8,32,Nvidia GeForce GTX 1050,2,True,True,2.06,15.6,3840x2160,1.0
322,MSI,MSI Gaming,Gaming,769.67,Intel Core i7 7700HQ 2.8GHz,8,8,Nvidia GeForce GTX 1050 Ti,2,True,True,2.7,17.3,1920x1080,0.6
323,Toshiba,Toshiba Notebook,Notebook,605.34,Intel Core i5 7200U 2.5GHz,4,8,Intel HD Graphics 620,0,False,False,2.0,15.6,1920x1080,0.6
324,Asus,Asus Notebook,Notebook,856.33,Intel Core i7 7500U 2.7GHz,8,8,Intel HD Graphics 620,0,False,False,2.0,14.0,1920x1080,0.6
325,Lenovo,Lenovo Notebook,Notebook,288.23,Intel Core i3 6006U 2GHz,2,4,Intel HD Graphics 520,0,False,False,1.85,15.6,1920x1080,0.6
